year,mileage_km,fuel_type,price_pln,brand,model,power,gearbox,drive,fuel_consumption_outside_city,fuel_consumption_in_city,body_type,color,country_of_origin,accident_free,condition
2006,358600.0,Diesel,26750.0,Audi,A6,233.0,Automatyczna,4X4,6.0,11.0,Kombi,Inny kolor,Polska,Tak,Używane
2023,6800.0,Benzyna,295000.0,Audi,Q5,265.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,SUV,Zielony,Polska,Nie,Używane
2013,245000.0,Diesel,58000.0,Audi,A6,177.0,Manualna,4X4,4.947841306884481,6.0,Kombi,Czarny,Polska,Tak,Używane
2019,180000.0,Diesel,131500.0,Audi,A6,204.0,Automatyczna,4X4,4.0,5.0,Kombi,Błękitny,Polska,Tak,Używane
2015,180000.0,Benzyna,67900.0,Audi,Q5,225.0,Automatyczna,Front,4.947841306884481,8.5,SUV,Inny kolor,Polska,Nie,Używane
2005,289000.0,Benzyna,22000.0,Audi,A3,200.0,Manualna,4X4,6.0,12.0,Kompakt,Granatowy,Polska,Tak,Używane
2017,124000.0,Benzyna,45999.0,Audi,A4,150.0,Manualna,Front,4.0,6.0,Sedan,Czarny,Polska,Nie,Używane
2014,140950.0,Benzyna,51900.0,Audi,A1,122.0,Automatyczna,Front,4.6,6.5,Auta miejskie,Brązowy,Polska,Nie,Używane
2014,168000.0,Diesel,84200.0,Audi,A7,204.0,Automatyczna,Front,4.947841306884481,7.473995451099318,Coupe,Inny kolor,Belgia,Tak,Używane
2004,322000.0,Benzyna+LPG,18900.0,Audi,A6,177.0,Manualna,Front,7.0,14.0,Sedan,Srebrny,Polska,Nie,Używane
2015,158500.0,Diesel,76500.0,Audi,Q5,190.0,Automatyczna,4X4,5.3,6.5,SUV,Czerwony,Polska,Nie,Używane
2012,180000.0,Benzyna,49999.0,Audi,Q5,270.0,Automatyczna,4X4,4.947841306884481,12.0,SUV,Czarny,Stany Zjednoczone,Nie,Używane
2012,192000.0,Diesel,54900.0,Audi,A4,177.0,Manualna,4X4,4.7,6.3,Kombi,Brązowy,Szwecja,Tak,Używane
2017,126000.0,Diesel,205000.0,Audi,Q7,286.0,Automatyczna,4X4,6.0,7.0,SUV,Czarny,Polska,Tak,Używane
2015,133800.0,Benzyna,81900.0,Audi,Q5,272.0,Automatyczna,4X4,6.0,11.0,SUV,Szary,Polska,Nie,Używane
2022,81775.0,Diesel,124900.0,Audi,A4,163.0,Automatyczna,Front,4.947841306884481,4.0,Kombi,Czarny,Polska,Tak,Używane
